,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc,Total Distance,moving_group,weapon_group
860100,92a3f29835a87f,8d12ef35aaee09,196a649203b0a3,1,0,450.0,0,1,4,12,1000,4,1,106.5,1796,normal-duo-fpp,9,8,-1,0,0.0,0,0.0,0,0,0.0,5,1500,1.0,0.0,<=10.00%,<=70.00%
863493,067e08c0eead14,53f9618f7a2d9c,3433e8e643688f,1,0,500.0,0,3,0,15,0,5,3,1.85,352,normal-squad-fpp,10,10,1500,0,0.0,0,0.0,1,0,0.0,5,0,1.0,0.0,<=10.00%,<=70.00%
864281,8cac077fab498f,52a8d36f639df9,b47dad51604d5b,0,2,873.5,0,0,6,4,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
869322,a5ea3cd8b89dda,9387009bb7252f,98f474e16f103d,0,3,363.0,0,0,9,3,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
872605,0443c5009d25a6,bfd2b61887c3f9,ca76f6a5b58669,1,0,375.0,3,2,4,23,0,5,3,29.06,896,normal-squad-fpp,27,18,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.8846,0.0,<=10.00%,<=70.00%
876533,a2a9ff75bc3149,21fd8481c7cee6,cb36fab737f9fd,0,0,355.8,0,0,0,9,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
880460,625db0085fa7f4,bc7764324a1311,f1c58444c21401,0,0,371.0,0,0,0,5,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
884651,e4de8f80eadf8b,2870c5214b9bea,3297e034674199,0,0,468.4,3,2,0,6,1818,4,4,12.63,1332,squad-fpp,29,28,-1,0,0.0,0,0.0,0,0,34.47,1,1516,0.9643,34.47,<=10.00%,<=10.00%
885648,62708262323e35,36ac8468f0a59d,f8d0191df783cc,0,0,334.0,0,0,0,13,1626,3,3,15.66,1423,solo-fpp,97,96,0,0,0.0,0,0.0,0,0,22.66,2,1723,0.1562,22.66,<=10.00%,<=20.00%
893029,af5165fc971b6f,f19f6e6fc737c3,f5e53f224ca6ba,0,0,369.1,3,0,1,39,1410,1,1,16.23,1400,squad,27,27,-1,0,0.0,0,0.0,0,0,22.86,3,1501,0.0769,22.86,<=10.00%,<=40.00%
943201,4114be74a72650,d246f249094f4f,0a15ab9b74e2d2,0,0,340.8,2,0,0,22,0,2,2,10.4,1413,duo-fpp,47,46,1562,0,0.0,0,0.0,0,0,37.23,2,0,0.0435,37.23,<=10.00%,<=20.00%
951869,b93f57155da795,d4d69352abc165,5eaec420acc39d,0,0,356.9,3,0,0,76,1659,0,0,0.0,1388,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,37.16,2,1471,0.2414,37.16,<=10.00%,<=20.00%
951971,13584c14525246,391157620319e5,d938ad516bb95c,0,0,400.7,0,0,0,5,0,0,0,0.0,1348,solo,16,1,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
957536,443b8019af82d9,249152e8655f99,dcaaf566f22f29,1,0,351.9,2,1,0,47,0,1,1,6.417,1867,duo-fpp,46,46,1496,0,0.0,0,0.0,0,0,24.28,1,0,0.0222,24.28,<=10.00%,<=10.00%
961849,0382ae1a1fa6dd,22bc3d46ae528f,13cc2771306d27,0,0,427.7,0,0,0,7,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
964533,a3d92cbdc10454,117f466206692a,797dd54dccf1fe,0,0,342.5,0,0,0,3,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,1.0,0.0,<=10.00%,<=20.00%
967544,4601f1e94a6537,84f242d0968964,6c647d82e1c306,0,0,473.9,0,0,0,16,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
975805,3b171f2d51ff22,c30b9098cf6c34,3f4fe53ee073b1,0,0,336.1,0,0,0,16,0,0,0,0.0,1062,solo,17,1,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
978241,3f5b2265d6750a,e578d9ed0935c3,3f2c5d7a9fc95f,0,1,334.2,2,2,0,26,1496,2,1,20.1,1361,duo-fpp,50,49,-1,0,0.0,0,0.0,0,0,28.1,2,1528,0.1429,28.1,<=10.00%,<=20.00%
983329,bad16ff9fb8c5e,b76c644558a9e8,a26eb1b805c225,0,0,368.0,2,0,0,22,0,2,2,3.977,1898,duo,46,44,1499,0,0.0,0,0.0,0,0,40.02,2,0,0.1556,40.02,<=10.00%,<=20.00%
991545,0700e7a78dab45,f223dfe1170f6c,151240154b98ff,0,0,359.1,0,1,0,6,0,4,3,5.16,1289,solo-fpp,87,85,1474,0,0.0,0,0.0,0,0,26.75,3,0,0.1977,26.75,<=10.00%,<=40.00%
1000651,4c2608c4a870c1,cc7cd0dc63342a,d55746dff23ec7,0,0,804.4,0,0,0,13,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1004411,f88b3fe1ba73e1,25d4110b8b6453,71251d99904abc,0,0,423.3,0,0,0,3,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1007590,3a9c4deda4edad,9d010232fd5264,2c7ee565a600c6,0,0,676.0,0,0,0,13,0,0,0,0.0,1719,solo,16,1,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1010290,8d897710e2d707,365d6ecdd9f9f7,445a37e3465fec,0,0,344.1,0,0,1,11,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1030717,615978e3f4b9dd,978d3ab0093204,d363cde3dedef9,0,0,807.0,0,0,0,3,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1038800,45cf6a4764015c,58add1b00bab10,993b3ea75a0bbc,0,0,447.1,0,0,0,3,0,0,0,0.0,1208,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1054694,7eaa40caec4500,24deb8adabbed2,50f22e22c6c0a5,0,0,380.6,4,0,0,11,1327,3,2,3.469,1390,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,17.61,2,1432,0.0741,17.61,<=10.00%,<=20.00%
1062353,136eebf6923eaa,78ac94603c5bf2,8e41307f6465aa,0,0,470.0,0,0,0,10,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1072201,b1437011473c81,4aaf2883169ae9,da53839c9f6fff,0,0,390.9,3,0,0,88,0,0,0,0.0,1731,squad-fpp,30,30,1542,0,0.0,0,0.0,0,0,37.41,1,0,0.0345,37.41,<=10.00%,<=10.00%
1099406,3a8f3881665140,38f17de4ced4f8,6b53a6d21a41bb,1,0,393.3,3,0,0,19,1906,2,2,8.118,1390,squad-fpp,32,31,-1,0,0.0,0,0.0,0,0,33.98,1,1473,0.0,33.98,<=10.00%,<=10.00%
1099541,bc76948629f8b9,6d57136a0502e0,29fe776d5ee610,0,0,548.1,0,0,0,7,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1105726,a36e8329a24b4b,30aeb970e0f6cc,08d0e0a1ee08ef,0,0,1091.0,0,0,0,9,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1127687,027c9bf4262494,457b26bf5c813d,6fb6fe29e70ed6,0,0,356.1,0,0,0,7,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1134928,a48786bc14e354,538dc1270089bf,9929e0c83364c7,0,0,377.7,0,0,0,13,0,0,0,0.0,1531,solo,17,1,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1145995,54ad9bc793ff9b,b4ba191a046bbd,4b56615bd30598,0,0,426.6,0,1,0,6,1000,4,4,0.0,1442,solo,93,86,-1,0,0.0,0,0.0,0,0,42.06,0,1500,0.25,42.06,<=10.00%,<=10.00%
1147400,01453b07c61e1e,84ddfa2d30fe58,d92bde56ebd2f1,0,0,458.1,0,0,0,3,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1163511,3660ad7da49cbc,f7b6eb0d31cbcc,fc0bbecba8db99,1,0,523.7,5,1,0,31,1000,5,4,83.17,1796,normal-squad-fpp,11,11,-1,0,0.0,0,0.0,0,0,0.0,6,1500,0.2,0.0,<=10.00%,<=90.00%
1169284,aadfddf2035653,87bfcbaa36605e,6db87452a2db21,0,0,457.6,0,0,0,4,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1173322,40ef97eb17524a,b90850df7e449f,ccb2d33526230d,0,0,389.5,0,0,0,12,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1182639,e71bbcda24c485,b4d53c320cc58f,01435d33376fd0,0,0,362.9,0,0,0,14,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1200057,0b39084267499d,719683b2f29e2a,231a6d5491b08f,0,0,477.0,0,0,0,17,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1217205,7d461dcf89f771,3e3676b90c5d75,05f877bf5f3fbc,0,0,400.0,3,1,0,12,0,3,3,4.867,1835,duo-fpp,50,48,1500,0,0.0,0,0.0,0,0,28.86,2,0,0.0408,28.86,<=10.00%,<=20.00%
1225697,7157e0835268d4,c8af1b865aa902,d8a192bc8cf9ce,0,0,365.9,0,0,0,2,0,0,0,0.0,1808,solo,15,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,1.0,0.0,<=10.00%,<=40.00%
1235582,94dcabf3ae3fbb,a61ccac62e3012,01113288885b5b,0,2,361.5,3,0,0,9,1662,4,2,9.036,1387,squad-fpp,28,28,-1,1,0.0,0,0.0,0,0,41.16,2,1591,0.1481,41.16,<=10.00%,<=20.00%
1239435,54d4587560da73,10af5b3fa11740,3f1035912f5588,0,0,902.2,0,0,0,7,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1244927,644c36f7f6c919,50fe6f6fb1f5aa,6cac1824c0e7ec,0,0,672.3,0,0,0,2,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,1.0,0.0,<=10.00%,<=20.00%
1249238,78ee80cc17ff54,1ba579c8c8bf7a,3ba0e3ff17ae40,0,0,500.0,4,1,0,3,1568,5,5,19.7,1382,squad-fpp,31,30,-1,0,0.0,0,0.0,0,0,34.68,2,1512,0.6667,34.68,<=10.00%,<=20.00%
1257855,47ecd4bffb2d1c,35240de0105b6e,6b06a99f4528b0,3,0,359.3,0,0,0,89,1642,0,0,0.0,1361,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,22.55,2,1549,0.0345,22.55,<=10.00%,<=20.00%
1257966,855963887bee13,6d8aa9fef1dced,68fb5d9914ed7e,1,0,400.0,3,1,0,12,1726,3,2,23.25,1274,squad-fpp,32,31,-1,0,0.0,0,0.0,0,0,36.31,2,1512,0.0968,36.31,<=10.00%,<=20.00%
1265760,6e79f8a978748e,7d9993762c0cb0,704dda4b442a59,0,0,375.5,2,0,0,9,0,4,2,5.911,1361,squad-fpp,29,29,1410,0,0.0,0,0.0,0,0,31.99,3,0,0.1429,31.99,<=10.00%,<=40.00%
1274399,31c37a0640e434,48adf679852c7e,f708e294cfa80a,1,0,400.0,4,0,0,22,1707,2,1,5.415,1874,squad,27,27,-1,0,0.0,0,0.0,0,0,14.65,1,1511,0.0769,14.65,<=10.00%,<=10.00%
1275034,66df2cc34f5a34,da9123b9444fce,5c6d275120f36e,0,0,556.1,0,0,0,8,0,0,0,0.0,1384,solo,16,1,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
1285625,71a202c8db13c6,a402068c33f171,e17acf3d7d1205,0,0,654.4,0,0,0,12,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1306725,f5af541f54c556,97a695c0f53a26,da4e4c7571a9ec,0,0,423.7,0,0,0,5,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1308128,68dafcf57d6124,eb1ac7b74bf5de,b58e621b87543e,0,0,409.8,0,0,0,5,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1308277,5d725e052682b7,31ac1a2d82e84b,d043dc27463023,0,0,558.6,0,0,0,2,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,1.0,0.0,<=10.00%,<=20.00%
1314575,30ee0dbe9285d8,b1e8f1f06b909a,c00797af2f3808,0,0,357.3,0,1,0,13,1484,3,2,41.43,1305,solo-fpp,98,95,-1,0,0.0,0,0.0,0,0,25.45,1,1475,0.3608,25.45,<=10.00%,<=10.00%
1320932,49c761e3380f81,20cfd09f380b23,f7b7c72fb607ca,0,0,379.9,3,1,0,10,0,3,3,47.56,1917,squad,24,24,1614,0,0.0,0,0.0,0,0,21.65,1,0,0.0435,21.65,<=10.00%,<=10.00%
1337714,4da724194e02a1,e99ddfbe9f7c97,ba9326f72cefc0,0,0,398.0,2,1,0,10,1081,3,3,11.27,1416,duo-fpp,47,47,0,0,0.0,0,0.0,0,0,33.72,1,1471,0.1522,33.72,<=10.00%,<=10.00%
1343088,e0fd6346effbf2,12ede3fef1318a,832accc40ad0e1,0,0,440.5,0,0,0,3,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,1.0,0.0,<=10.00%,<=20.00%
1346683,657be24af8b406,08a64a8200015f,3433e8e643688f,2,0,465.8,0,3,0,22,0,4,2,2.67,352,normal-squad-fpp,10,10,1500,0,0.0,0,0.0,0,0,22.9,6,0,0.8889,22.9,<=10.00%,<=90.00%
1358220,14b2dfbd8b8744,0baec7369cdf75,7082e37e9ffe69,0,0,588.4,0,0,0,15,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1360144,fb061c3cf84924,5fddec09b60250,effebcb694756b,0,0,433.1,0,0,0,9,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
1361651,5b8a5180c4d733,fc2bfc986ebfcb,0e75350855dee2,0,0,420.3,0,0,0,12,0,0,0,0.0,1645,solo,16,1,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1365201,d44e7e3aa8e569,d43a5e7cfed17a,9dc98466b9594d,3,0,340.2,1,0,0,57,0,1,1,44.93,559,normal-squad-fpp,10,10,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1381287,242c3cecffac69,dfacd67c43e770,eb3217d6db308b,2,0,1092.0,0,6,0,1,0,14,3,175.9,630,normal-squad-fpp,12,10,1500,0,0.0,0,0.0,0,0,0.0,6,0,1.0,0.0,<=10.00%,<=90.00%
1396946,d09638264d2431,5fd7619cd85153,7470f0d1d5938c,0,0,356.5,0,0,0,11,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
1399571,22c088274f9270,75ca167f1efa4c,6bc84f9ade1041,0,0,359.2,0,0,0,5,0,0,0,0.0,1745,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1414252,557aa58db2dce3,5c696642450696,717973be4c0d8e,0,0,385.6,2,0,0,17,0,3,3,11.27,1261,squad-fpp,28,26,1487,0,0.0,0,0.0,0,0,16.32,2,0,0.2593,16.32,<=10.00%,<=20.00%
1422913,292a0595a6d62b,ed565ed41e526d,78c3fc94aecd23,0,0,570.7,0,0,0,7,0,0,0,0.0,1508,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1430900,beeca1fee55a08,ed8c6e232abb77,9cc734617334be,0,0,342.6,2,0,0,21,0,2,2,23.81,1285,duo-fpp,49,48,1522,0,0.0,0,0.0,0,0,38.28,2,0,0.1875,38.28,<=10.00%,<=20.00%
1432577,6b66431b234064,2c82c921008cfe,8320c8e950f206,0,0,355.6,2,1,0,18,1055,2,1,9.841,1423,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,37.02,2,1510,0.4815,37.02,<=10.00%,<=20.00%
1433624,0e6bb8b95f06a4,6571120abf3702,f68817df203da9,1,0,378.7,3,1,0,11,0,3,2,7.303,1332,squad-fpp,29,27,1409,0,0.0,0,0.0,0,0,15.84,1,0,0.1429,15.84,<=10.00%,<=10.00%
1441239,f160e6e8c8fd28,719683b2f29e2a,231a6d5491b08f,0,0,427.8,0,0,0,11,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1443151,e63d93874619cb,af577eaacb6d37,6c435047473aab,0,0,400.0,3,1,0,13,1379,3,3,19.12,1372,squad-fpp,29,28,-1,1,0.0,0,0.0,0,0,38.52,1,1478,0.1429,38.52,<=10.00%,<=10.00%
1445717,5d93e7049cef80,1881fc3d2f7d1f,341341834b7941,0,1,724.1,0,4,1,23,1000,8,2,184.5,732,normal-squad-fpp,8,8,-1,0,0.0,0,0.0,0,0,0.0,5,1500,0.4286,0.0,<=10.00%,<=70.00%
1448936,7ccacb4805a4b6,7124fa25559e80,b21e69b4d57798,0,0,475.3,0,0,0,12,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1449051,ffd60da7a82a21,31b947eccf8d67,656bcec2fe28e7,0,0,400.0,4,1,0,46,0,1,1,17.91,1327,squad-fpp,30,29,1519,0,0.0,0,0.0,0,0,28.55,2,0,0.069,28.55,<=10.00%,<=20.00%
1449223,fe48ab6e6db12a,94653a1c7d1cbf,0c1097ce5f9940,0,0,1178.0,0,0,0,1,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,1.0,0.0,<=10.00%,<=70.00%
1453005,68505363e5337a,390c480f747513,f32da24a381eb4,0,0,554.5,0,0,0,2,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,1.0,0.0,<=10.00%,<=40.00%
1467649,2e46a513c8f660,8d4abf68d4cd78,9d9e1ffe2b9bfc,0,0,393.4,0,0,0,9,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1468649,36d016fc141787,901186a21f279d,b517b7a61aef19,0,0,339.9,0,0,0,10,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1470866,4e6a953989ab21,3b924aa6567139,a8b7109727e1d8,0,0,424.3,3,0,0,44,0,1,1,1.709,1426,squad-fpp,27,26,1371,0,0.0,0,0.0,0,0,21.26,1,0,0.0769,21.26,<=10.00%,<=10.00%
1480802,62ab0a4c94a6ff,a17383b8e26d3d,96c7291e4c475a,0,0,367.4,0,0,0,6,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
1481067,3ddc2b3ac08017,237fa4e0c4dd7a,f8b06c2f753607,0,0,392.7,0,0,0,8,0,0,0,0.0,1808,solo,14,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1484171,414305daeeee87,eed2de089b7533,ae832a0a6381a0,0,0,392.8,0,0,0,10,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.0,0.0,<=10.00%,<=60.00%
1498628,2e6e4b183277b9,ad23c11a67ad02,fe06b0df230c84,0,0,369.6,3,0,0,17,0,2,1,3.888,1290,squad-fpp,25,24,1422,0,0.0,0,0.0,0,0,31.82,2,0,0.125,31.82,<=10.00%,<=20.00%
1505323,fa3654ec89b330,83dba19b416496,fdc6da4a854639,0,0,453.5,0,0,0,1,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,1.0,0.0,<=10.00%,<=70.00%
1508448,80ff3175a1ac38,dfb6e24222f6be,2e225c67829dbe,0,0,625.8,0,0,0,16,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1516533,e684673d355201,255c7aa88c9609,30ec1426e1d434,0,0,539.6,0,0,0,19,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1523467,3674e45b42b792,ecfca7e3f4fc5c,05ca488ae12f24,0,0,347.3,3,0,0,33,1387,1,1,10.57,1880,squad-fpp,29,29,0,0,0.0,0,0.0,0,0,40.97,1,1500,0.0,40.97,<=10.00%,<=10.00%
1528214,e5c2f75953b388,e046abe5aa9c80,cf800c1a78ff49,0,0,385.0,2,1,0,19,0,2,1,9.853,1430,squad-fpp,28,28,1436,0,0.0,0,0.0,0,0,27.14,1,0,0.037,27.14,<=10.00%,<=10.00%
1535555,0a63dcdbce0f68,bd70517b598d84,b022d3a81d382f,0,0,1024.0,0,0,0,10,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,<=10.00%,<=10.00%
1543487,32b0127b90e005,cafde16832eaab,73235c36728c77,0,0,343.2,2,1,0,20,0,2,2,29.39,1392,duo-fpp,45,39,1702,0,0.0,0,0.0,0,0,42.17,3,0,0.0454,42.17,<=10.00%,<=40.00%
1546614,de447cbaf27894,69f325f0cf4bba,56837f98325977,0,0,401.5,0,0,0,7,0,0,0,0.0,1794,solo,18,1,1500,0,0.0,0,0.0,0,0,0.0,6,0,0.0,0.0,<=10.00%,<=90.00%
1552212,dd331e8cae129a,bf3f8898c06580,cd457ef31e1747,0,0,359.7,2,0,0,80,0,0,0,0.0,1363,squad-fpp,29,28,1441,0,0.0,0,0.0,0,0,32.31,2,0,0.25,32.31,<=10.00%,<=20.00%
1559011,2b87983b85d094,3721e228855b3e,8822b730436828,1,0,360.0,3,2,0,10,2087,3,2,6.373,1355,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,34.49,2,1648,0.037,34.49,<=10.00%,<=20.00%
1568326,47cfee932dc7ce,0668772211d27b,bfb4af89105af2,0,0,535.2,0,0,0,12,0,0,0,0.0,1808,solo,14,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1574772,f43c48ea008c87,11fce60d5c8ea3,60c6e90b964266,5,0,1081.0,12,2,2,12,0,10,2,153.9,1216,normal-squad-fpp,6,6,1500,0,0.0,0,0.0,0,0,0.0,5,0,1.0,0.0,<=10.00%,<=70.00%
1583106,895cf60ce729ab,36286d96dbd0eb,01ad9ab6e931b8,0,0,335.3,0,0,0,16,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1596962,869259ba9c6e61,df410877c35455,668560ba6622c2,2,0,383.4,1,0,1,8,0,3,1,28.73,885,normal-duo-fpp,5,3,1500,1,0.0,0,0.0,0,0,28.09,6,0,1.0,28.09,<=10.00%,<=90.00%
1612508,ef588eca475863,eb83bb455bcaf9,16562bc04501d5,0,0,366.9,3,1,0,14,1495,3,3,11.52,1240,squad-fpp,31,26,-1,0,0.0,0,0.0,0,0,39.78,1,1511,0.0333,39.78,<=10.00%,<=10.00%
1623895,2204f4c2d88e69,a530aafdc29af0,486f77e1f9a3ec,0,0,351.2,4,0,0,79,1013,0,0,0.0,2020,squad-fpp,26,25,-1,0,0.0,0,0.0,0,0,19.81,1,1501,0.12,19.81,<=10.00%,<=10.00%
1628325,1d860d0e7da1fa,2775b9ac601896,9bf974636cf246,1,0,344.2,2,2,0,12,1312,3,2,14.41,1368,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,30.22,2,1507,0.0417,30.22,<=10.00%,<=20.00%
1646990,37173ebb9b5a4f,91d88465782849,fdc6da4a854639,0,0,392.3,0,0,0,14,0,0,0,0.0,1808,solo,17,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0,0.0,<=10.00%,<=20.00%
1655698,6ea0d5f5886f42,9b762da3664d44,883c9faa2cc272,0,0,351.6,3,0,0,37,0,1,1,5.055,1408,squad,27,25,1542,0,0.0,0,0.0,0,0,35.02,1,0,0.0385,35.02,<=10.00%,<=10.00%
1703170,1f480441d2be6c,c72b4ac4c8fb1f,950d302da4b9a7,0,0,378.7,2,1,0,11,0,3,3,21.49,1305,duo-fpp,49,48,1494,0,0.0,0,0.0,0,0,30.09,2,0,0.1458,30.09,<=10.00%,<=20.00%
1711429,92f9cded3f82a0,c898b8222c263d,ff80300f8262f5,3,0,526.3,0,1,0,8,0,7,3,36.67,360,normal-squad-fpp,4,4,1500,0,0.0,0,0.0,0,0,0.0,4,0,0.6667,0.0,<=10.00%,<=60.00%
1711463,8309300c257619,584ed52e805bf9,c4591806ba4f0e,0,0,1064.0,0,0,0,4,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,3,0,0.0,0.0,<=10.00%,<=40.00%
1714523,ad6869d9c47472,308eda28399998,bd43a8ac6feb1c,0,0,375.0,0,1,0,7,0,3,2,5.048,1438,solo-fpp,93,91,1526,0,0.0,0,0.0,0,0,41.83,2,0,0.163,41.83,<=10.00%,<=20.00%
1716328,c4c40c3eb4dea0,1cd72637bf4bd5,201fff6ffa47d5,0,0,358.3,0,0,0,14,0,0,0,0.0,1808,solo,16,2,1500,0,0.0,0,0.0,0,0,0.0,1,0,0.0,0.0,<=10.00%,<=10.00%
1725164,1c7b1be44282d0,a402068c33f171,e17acf3d7d1205,0,0,341.7,0,0,0,7,0,0,0,0.0,1808,solo,18,2,1500,0,0.0,0,0.0,0,0,0.0,5,0,0.0,0.0,<=10.00%,<=70.00%
